Ask,AVolume,Bid,BVolume,Exchange,Ticker,TimeStamp,Spread
0.082844,1216,0.082766,413,BitMart,DOGE/USDT,2022-11-09T11:13:07.050Z,7.80E-05
0.082846,1394,0.082764,490,BitMart,DOGE/USDT,2022-11-09T11:13:07.050Z,8.20E-05
0.082847,609,0.08276,1454,BitMart,DOGE/USDT,2022-11-09T11:13:07.050Z,8.70E-05
0.082849,1280,0.082758,752,BitMart,DOGE/USDT,2022-11-09T11:13:07.050Z,9.10E-05
0.082892,46589,0.082756,1010,BitMart,DOGE/USDT,2022-11-09T11:13:07.050Z,0.000136
0.082948,41752,0.082753,1449,BitMart,DOGE/USDT,2022-11-09T11:13:07.050Z,0.000195
0.083009,43578,0.082748,1066,BitMart,DOGE/USDT,2022-11-09T11:13:07.050Z,0.000261
0.083059,92506,0.082729,60,BitMart,DOGE/USDT,2022-11-09T11:13:07.050Z,0.00033
0.08311,158026,0.082723,987,BitMart,DOGE/USDT,2022-11-09T11:13:07.050Z,0.000387
0.083176,59225,0.082708,98240,BitMart,DOGE/USDT,2022-11-09T11:13:07.050Z,0.000468
0.0832,73202,0.082667,50823,BitMart,DOGE/USDT,2022-11-09T11:13:07.050Z,0.000533
0.083241,130483,0.082608,134469,BitMart,DOGE/USDT,2022-11-09T11:13:07.050Z,0.000633
0.083257,75565,0.082567,79183,BitMart,DOGE/USDT,2022-11-09T11:13:07.050Z,0.00069
0.083323,155257,0.082551,822,BitMart,DOGE/USDT,2022-11-09T11:13:07.050Z,0.000772
0.083363,73459,0.082536,564,BitMart,DOGE/USDT,2022-11-09T11:13:07.050Z,0.000827
0.083403,83587,0.082526,157053,BitMart,DOGE/USDT,2022-11-09T11:13:07.050Z,0.000877
0.082899,1316.48,0.082853,5500,Gate.io,DOGE/USDT,2022-11-09T11:13:16.395Z,4.60E-05
0.0829,803.33,0.082849,87.31,Gate.io,DOGE/USDT,2022-11-09T11:13:16.395Z,5.10E-05
0.082904,5500,0.082837,5500,Gate.io,DOGE/USDT,2022-11-09T11:13:16.395Z,6.70E-05
0.082928,1517.21,0.082833,1316.48,Gate.io,DOGE/USDT,2022-11-09T11:13:16.395Z,9.50E-05
0.08293,12.61,0.082832,1316.48,Gate.io,DOGE/USDT,2022-11-09T11:13:16.395Z,9.80E-05
0.082941,20.48,0.082812,2119.81,Gate.io,DOGE/USDT,2022-11-09T11:13:16.395Z,0.000129
0.082943,6133.27,0.082808,1316.48,Gate.io,DOGE/USDT,2022-11-09T11:13:16.395Z,0.000135
0.08295,347.63,0.082807,1316.48,Gate.io,DOGE/USDT,2022-11-09T11:13:16.395Z,0.000143
0.08296,1107.71,0.082806,1316.48,Gate.io,DOGE/USDT,2022-11-09T11:13:16.395Z,0.000154
0.082972,696.92,0.082803,1316.48,Gate.io,DOGE/USDT,2022-11-09T11:13:16.395Z,0.000169
0.082991,6124.41,0.08277,1105.79,Gate.io,DOGE/USDT,2022-11-09T11:13:16.395Z,0.000221
0.082993,6058.95,0.082748,5892.17,Gate.io,DOGE/USDT,2022-11-09T11:13:16.395Z,0.000245
0.082994,22.96,0.082737,1316.48,Gate.io,DOGE/USDT,2022-11-09T11:13:16.395Z,0.000257
0.083,7821.54,0.082735,1316.48,Gate.io,DOGE/USDT,2022-11-09T11:13:16.395Z,0.000265
0.083013,1906.5,0.082733,30542.56,Gate.io,DOGE/USDT,2022-11-09T11:13:16.395Z,0.00028
0.083015,14.11,0.082731,1316.48,Gate.io,DOGE/USDT,2022-11-09T11:13:16.395Z,0.000284
0.083036,6067.52,0.08273,1316.48,Gate.io,DOGE/USDT,2022-11-09T11:13:16.395Z,0.000306
0.083055,2000,0.082715,1316.48,Gate.io,DOGE/USDT,2022-11-09T11:13:16.395Z,0.00034
0.083062,661.1,0.082714,2575.18,Gate.io,DOGE/USDT,2022-11-09T11:13:16.395Z,0.000348
0.083072,17864.54,0.082699,6174.28,Gate.io,DOGE/USDT,2022-11-09T11:13:16.395Z,0.000373
0.082895,850.4552,0.082749,29273.4436,Bitget,DOGE/USDT,2022-11-09T11:13:28.251Z,0.000146
0.082945,3000.0025,0.082747,21287.8824,Bitget,DOGE/USDT,2022-11-09T11:13:28.251Z,0.000198
0.082947,3000.0011,0.082715,3000.0018,Bitget,DOGE/USDT,2022-11-09T11:13:28.251Z,0.000232
0.082949,3806.6973,0.082713,3000.0048,Bitget,DOGE/USDT,2022-11-09T11:13:28.251Z,0.000236
0.082951,10017.6245,0.082711,3000.0021,Bitget,DOGE/USDT,2022-11-09T11:13:28.251Z,0.00024
0.082953,26362.1699,0.082709,3000.0048,Bitget,DOGE/USDT,2022-11-09T11:13:28.251Z,0.000244
0.082955,69374.1312,0.082707,5012.7799,Bitget,DOGE/USDT,2022-11-09T11:13:28.251Z,0.000248
0.082965,18838.1724,0.082705,13191.5259,Bitget,DOGE/USDT,2022-11-09T11:13:28.251Z,0.00026
0.082975,47468.52,0.082695,4028.8239,Bitget,DOGE/USDT,2022-11-09T11:13:28.251Z,0.00028
0.082985,87538.9888,0.082685,11476.201,Bitget,DOGE/USDT,2022-11-09T11:13:28.251Z,0.0003
0.08299,3000.0039,0.082675,38426.2582,Bitget,DOGE/USDT,2022-11-09T11:13:28.251Z,0.000315
0.082994,3000.0009,0.082669,3000.0028,Bitget,DOGE/USDT,2022-11-09T11:13:28.251Z,0.000325
0.082995,45435.39,0.082668,4455,Bitget,DOGE/USDT,2022-11-09T11:13:28.251Z,0.000327
0.082999,3000.0021,0.082665,12961.008,Bitget,DOGE/USDT,2022-11-09T11:13:28.251Z,0.000334
0.083005,46158.7951,0.082659,14776.1163,Bitget,DOGE/USDT,2022-11-09T11:13:28.251Z,0.000346
0.083007,469746.359,0.082658,3000.0006,Bitget,DOGE/USDT,2022-11-09T11:13:28.251Z,0.000349
0.083014,3000.0018,0.082655,26051.3116,Bitget,DOGE/USDT,2022-11-09T11:13:28.251Z,0.000359
0.083015,9060.1247,0.082654,9603,Bitget,DOGE/USDT,2022-11-09T11:13:28.251Z,0.000361
